about,prefLabel,altLabel,broader,facetaAcronimo,faceta
"advocacia.geral.uniao;procuradoria.geral.fazenda.nacional,advocacia.geral.uniao;procuradoria.geral.federal,fundo.nacional.desenvolvimento.educacao,ministerio.fazenda;secretaria.receita.federal.brasil","Advocacia-Geral da União, Procuradoria-Geral da Fazenda Nacional; Advocacia-Geral da União, Procuradoria-Geral Federal; Fundo Nacional de Desenvolvimento da Educação; Ministério da Fazenda, Secretaria da Receita Federal do Brasil",,,,
"advocacia.geral.uniao;procuradoria.geral.fazenda.nacional,ministerio.fazenda;secretaria.executiva;subsecretaria.planejamento.orcamento.administracao,ministerio.fazenda;secretaria.receita.federal.brasil","Advocacia-Geral da União, Procuradoria-Geral da Fazenda Nacional; Ministério da Fazenda, Secretaria Executiva, Subsecretaria de Planejamento, Orçamento e Administração; Ministério da Fazenda, Secretaria da Receita Federal do Brasil",,,,
"instituto.nacional.seguro.social,ministerio.fazenda;secretaria.receita.federal.brasil,ministerio.relacoes.exteriores","Instituto Nacional do Seguro Social; Ministério da Fazenda, Secretaria da Receita Federal do Brasil; Ministério das Relações Exteriores",,,,
"ministerio.fazenda;secretaria.receita.federal.brasil,ministerio.transportes","Ministério da Fazenda, Secretaria da Receita Federal do Brasil; Ministério dos Transportes",,,,
"advocacia.geral.uniao;procuradoria.geral.fazenda.nacional,advocacia.geral.uniao;procuradoria.geral.federal,fundo.nacional.desenvolvimento.educacao,instituto.nacional.seguro.social,ministerio.fazenda;secretaria.receita.federal.brasil","Advocacia-Geral da União, Procuradoria-Geral da Fazenda Nacional,  Procuradoria-Geral Federal; Fundo Nacional de Desenvolvimento da Educação; Instituto Nacional do Seguro Social; Ministério da Fazenda, Secretaria da Receita Federal do Brasil",,,,
"agencia.nacional.vigilancia.sanitaria,ministerio.agricultura.pecuaria.abastecimento;secretaria.defesa.agropecuaria,ministerio.fazenda;secretaria.receita.federal.brasil","Agência Nacional de Vigilância Sanitária; Ministério da Agricultura, Pecuária e Abastecimento, Secretaria de Defesa Agropecuária; Ministério da Fazenda, Secretaria da Receita Federal do Brasil",,,,
"ministerio.desenvolvimento.industria.comercio.exterior;secretaria.comercio.exterior,ministerio.fazenda;secretaria.receita.federal.brasil","Ministério do Desenvolvimento, Indústria e Comércio Exterior. Secretaria de Comércio Exterior; Ministério da Fazenda, Secretaria da Receita Federal do Brasil",,,,
"ministerio.fazenda;secretaria.receita.federal.brasil,ministerio.fazenda;secretaria.tesouro.nacional","Ministério da Fazenda, Secretaria da Receita Federal do Brasil; Ministério da Fazenda, Secretaria do Tesouro Nacional",,,,
"ministerio.fazenda;secretaria.receita.federal.brasil,tribunal.superior.eleitoral","Ministério da Fazenda, Secretaria da Receita Federal do Brasil; Tribunal Superior Eleitoral",,,,
presidencia.republica;gabinete.seguranca.institucional,"Presidência da República. Gabinete de Segurança Institucional",GSI,#presidencia.republica,,Federal::Executivo::Presidência da República::Gabinete de Segurança Institucional
"ministerio.cultura,ministerio.fazenda;secretaria.receita.federal","Ministério da Cultura; Ministério da Fazenda, Secretaria da Receita Federal",,,,
"ministerio.fazenda;comissao.valores.mobiliarios,ministerio.fazenda;secretaria.receita.federal","Ministério da Fazenda, Comissão de Valores Mobiliários, Secretaria da Receita Federal",,,,"Ministério da Fazenda, Comissão de Valores Mobiliários, Secretaria da Receita Federal"
"instituto.brasileiro.meio.ambiente.recursos.naturais.renovaveis,instituto.nacional.colonizacao.reforma.agraria,ministerio.fazenda;secretaria.receita.federal","Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis; Instituto Nacional de Colonização e Reforma Agrária; Ministério da Fazenda, Secretaria da Receita Federal",,,,
"ministerio.fazenda;secretaria.receita.federal,ministerio.fazenda;superintendencia.seguros.privados,ministerio.previdencia.social;secretaria.previdencia.complementar","Ministério da Fazenda, Secretaria da Receita Federal; Ministério da Fazenda, Superintendência de Seguros Privados; Ministério da Previdência Social, Secretaria de Previdência Complementar",,,,
"ministerio.fazenda;secretaria.receita.federal,ministerio.previdencia.social;secretaria.receita.previdenciaria","Ministério da Fazenda, Secretaria da Receita Federal; Ministério da Previdência Social, Secretaria da Receita Previdenciária",,,,
"ministerio.fazenda;secretaria.receita.federal,ministerio.fazenda;secretaria.tesouro.nacional","Ministério da Fazenda, Secretaria da Receita Federal; Ministério da Fazenda, Secretaria do Tesouro Nacional",,,,
"controladoria.geral.uniao;secretaria.federal.controle.interno,ministerio.fazenda;secretaria.receita.federal,ministerio.fazenda;secretaria.tesouro.nacional","Controladoria-Geral da União, Secretaria Federal de Controle Interno; Ministério da Fazenda, Secretaria da Receita Federal; Ministério da Fazenda, Secretaria do Tesouro Nacional",,,,
"ministerio.fazenda;secretaria.receita.federal,ministerio.fazenda;superintendencia.seguros.privados","Ministério da Fazenda, Secretaria da Receita Federal; Ministério da Fazenda, Superintendência de Seguros Privados",,,,
"agencia.nacional.vigilancia.sanitaria,comando.aeronautica;departamento.aviacao.civil,ministerio.justica;departamento.policia.federal,ministerio.agricultura.pecuaria.abastecimento;secretaria.defesa.agropecuaria,ministerio.fazenda;secretaria.receita.federal","Agência Nacional de Vigilância Sanitária; Comando da Aeronáutica, Departamento de Aviação Civil; Ministéio da Justiça, Departamento de Polícia Federal; Ministério da Agricultura, Pecuária e Abastecimento, Secretaria de Defesa Agropecuária; Ministério da Fazenda, Secretaria da Receita Federal",,,,
"ministerio.fazenda;secretaria.receita.federal,ministerio.minas.energia;departamento.nacional.producao.mineral","Ministério da Fazenda, Secretaria da Receita Federal; Ministério de Minas e Energia, Departamento Nacional de Produção Mineral",,,,
"agencia.nacional.vigilancia.sanitaria,ministerio.justica;departamento.policia.federal,ministerio.agricultura.pecuaria.abastecimento;secretaria.defesa.agropecuaria,ministerio.fazenda;secretaria.receita.federal,presidencia.republica;gabinete.seguranca.institucional","Agência Nacional de Vigilância Sanitária; Ministéio da Justiça, Departamento de Polícia Federal; Ministério da Agricultura, Pecuária e Abastecimento, Secretaria de Defesa Agropecuária; Ministério da Fazenda, Secretaria da Receita Federal; Presidência da República. Gabinete de Segurança Institucional",,,,
"advocacia.geral.uniao;procuradoria.geral.fazenda.nacional,advocacia.geral.uniao;procuradoria.geral.federal,ministerio.fazenda;secretaria.receita.federal,ministerio.previdencia.social;secretaria.receita.previdenciaria","Advocacia-Geral da União, Procuradoria-Geral da Fazenda Nacional; Advocacia-Geral da União, Procuradoria-Geral Federal; Ministério da Fazenda, Secretaria da Receita Federal; Ministério da Previdência Social, Secretaria de Receita Previdenciária",,,,
"advocacia.geral.uniao;procuradoria.geral.fazenda.nacional,ministerio.fazenda;secretaria.receita.federal","Advocacia-Geral da União, Procuradoria-Geral da Fazenda Nacional; Ministério da Fazenda, Secretaria da Receita Federal",,,,
"banco.central,ministerio.fazenda;secretaria.receita.federal","Banco Central; Ministério da Fazenda, Secretaria da Receita Federal",,,,
"empresa.brasileira.infra.estrutura.aeroportuaria,ministerio.fazenda;secretaria.receita.federal,ministerio.justica;departamento.policia.federal","Empresa Brasileira de Infra-Estrutura Aeroportuária;  Ministério da Fazenda, Secretaria da Receita Federal; Ministéio da Justiça, Departamento de Polícia Federal",,,,
"advocacia.geral.uniao;procuradoria.geral.fazenda.nacional,instituto.nacional.seguro.social,ministerio.fazenda;secretaria.receita.federal","Advocacia-Geral da União, Procuradoria-Geral da Fazenda Nacional; Instituto Nacional do Seguro Social; Ministério da Fazenda, Secretaria da Receita Federal",,,,
"ministerio.desenvolvimento.industria.comercio.exterior;secretaria.comercio.exterior,ministerio.fazenda;secretaria.receita.federal","Ministério do Desenvolvimento, Indústria e Comércio Exterior. Secretaria de Comércio Exterior; Ministério da Fazenda, Secretaria da Receita Federal",,,,
"ministerio.fazenda;secretaria.receita.federal,ministerio.previdencia.social;secretaria.previdencia.complementar","Ministério da Fazenda, Secretaria da Receita Federal; Ministério da Previdência Social, Secretaria de Previdência Complementar",,,,
"conselho.administrativo.recursos.fiscais,ministerio.fazenda;secretaria.receita.federal.brasil","Ministério da Fazenda, Conselho Administrativo de Recursos Fiscais; Ministério da Fazenda, Secretaria da Receita Federal do Brasil",,,,
conselho.recursos.previdencial.social,"Conselho de Recursos da Previdência Social",CRPS,,CRPS – Conselho de Recursos da Previdência Social,Conselho de Recursos da Previdência Social
conselho.recursos.previdencial.social;junta.recursos.18,"Conselho de Recursos da Previdência Social. Décima Oitava Junta de Recursos - Porto Alegre - RS",JR18,#conselho.recursos.previdencial.social,JR18 – Décima Oitava Junta de Recursos - Porto Alegre - RS,Conselho de Recursos da Previdência Social::Décima Oitava Junta de Recursos - Porto Alegre - RS
conselho.justica.federal,"Conselho da Justiça Federal",CJF,,CJF – Conselho da Justiça Federal,Conselho da Justiça Federal
conselho.justica.federal;turma.nacional.uniformizacao.juizados.especiais.federais,"Conselho da Justiça Federal. Turma Nacional de Uniformização dos Juizados Especiais Federais",TNJ-JEFs,#conselho.justica.federal,TNJ-JEFs – Turma Nacional de Uniformização dos Juizados Especiais Federais,Conselho da Justiça Federal::Turma Nacional de Uniformização dos Juizados Especiais Federais
superior.tribunal.militar;plenario,"Superior Tribunal Militar. Plenário",,#superior.tribunal.militar,,Federal::Judiciário::Superior Tribunal Militar::Plenário
ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.normas.procedimentos.judiciais,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Normas e Procedimentos Judiciais",DENOP,#ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos,DENOP – Departamento de Normas e Procedimentos Judiciais,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Recursos Humanos::Departamento de Normas e Procedimentos Judiciais"
ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.normas.procedimentos.judiciais;coordenacao.geral.elaboracao.sistematizacao.aplicacao.normas,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Normas e Procedimentos Judiciais. Coordenação-Geral de Elaboração, Sistematização e Aplicação de Normas",CGNOR,#ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.normas.procedimentos.judiciais,"CGNOR – Coordenação-Geral de Elaboração, Sistematização e Aplicação de Normas","Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Recursos Humanos::Departamento de Normas e Procedimentos Judiciais::Coordenação-Geral de Elaboração, Sistematização e Aplicação de Normas"
ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.saude.previdencia.beneficios.servidor,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Saúde, Previdência e Benefícios do Servidor",DESAP,#ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos,"DESAP – Departamento de Saúde, Previdência e Benefícios do Servidor","Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Recursos Humanos::Departamento de Saúde, Previdência e Benefícios do Servidor"
ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.saude.previdencia.beneficios.servidor;coordenacao.geral.previdencia.atuaria,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Saúde, Previdência e Benefícios do Servidor. Coordenação-Geral de Previdência e Atuária",CGPRE,#ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.saude.previdencia.beneficios.servidor,CGPRE – Coordenação-Geral de Previdência e Atuária,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Recursos Humanos::Departamento de Saúde, Previdência e Benefícios do Servidor::Coordenação-Geral de Previdência e Atuária"
ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.normas.procedimentos.judiciais;coordenacao.geral.procedimentos.judiciais,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Normas e Procedimentos Judiciais. Coordenação-Geral de Procedimentos Judiciais",CGPJU,#ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.normas.procedimentos.judiciais,CGPJU – Coordenação-Geral de Procedimentos Judiciais,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Recursos Humanos::Departamento de Normas e Procedimentos Judiciais::Coordenação-Geral de Procedimentos Judiciais"
ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.relacoes.trabalho,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Relações do Trabalho",DERET,#ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos,DERET – Departamento de Relações do Trabalho,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Recursos Humanos::Departamento de Relações do Trabalho"
ministerio.planejamento.orcamento.gestao;secretaria.executiva,"Ministério do Planejamento, Orçamento e Gestão. Secretaria Executiva",,#ministerio.planejamento.orcamento.gestao,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria Executiva"
ministerio.planejamento.orcamento.gestao;secretaria.executiva;departamento.coordenacao.governanca.empresas.estatais,"Ministério do Planejamento, Orçamento e Gestão. Secretaria Executiva. Departamento de Coordenação e Governança das Empresas Estatais",DEST,#ministerio.planejamento.orcamento.gestao;secretaria.executiva,DEST – Departamento de Coordenação e Governança das Empresas Estatais,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria Executiva::Departamento de Coordenação e Governança das Empresas Estatais"
ministerio.planejamento.orcamento.gestao;secretaria.patrimonio.uniao,"Ministério do Planejamento, Orçamento e Gestão. Secretaria do Patrimônio da União",SPU,#ministerio.planejamento.orcamento.gestao,SPU – Secretaria do Patrimônio da União,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria do Patrimônio da União"
ministerio.planejamento.orcamento.gestao;secretaria.gestao,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão",SEGES,#ministerio.planejamento.orcamento.gestao,SEGES – Secretaria de Gestão,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Gestão"
ministerio.planejamento.orcamento.gestao;secretaria.executiva;subsecretaria.planejamento.orcamento.administracao,"Ministério do Planejamento, Orçamento e Gestão. Secretaria Executiva. Subsecretaria de Planejamento, Orçamento e Administração",SPOA,#ministerio.planejamento.orcamento.gestao;secretaria.executiva,"SPOA – Subsecretaria de Planejamento, Orçamento e Administração","Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria Executiva::Subsecretaria de Planejamento, Orçamento e Administração"
"ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.normas.procedimentos.judiciais;coordenacao.geral.elaboracao.sistematizacao.aplicacao.normas,ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.saude.previdencia.beneficios.servidor;coordenacao.geral.previdencia.atuaria","Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Normas e Procedimentos Judiciais. Coordenação-Geral de Elaboração, Sistematização e Aplicação de Normas; Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Saúde, Previdência e Benefícios do Servidor. Coordenação-Geral de Previdência e Atuária",,,,
"ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.normas.procedimentos.judiciais;coordenacao.geral.elaboracao.sistematizacao.aplicacao.normas,ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.normas.procedimentos.judiciais;coordenacao.geral.procedimentos.judiciais","Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Normas e Procedimentos Judiciais. Coordenação-Geral de Elaboração, Sistematização e Aplicação de Normas; Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Normas e Procedimentos Judiciais. Coordenação-Geral de Procedimentos Judiciais",,,,
"ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.normas.procedimentos.judiciais,ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.relacoes.trabalho","Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Normas e Procedimentos Judiciais; Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Relações do Trabalho",,,,
"ministerio.planejamento.orcamento.gestao;secretaria.gestao,ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos","Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão; Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Normas e Procedimentos Judiciais; Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos",,,,
"ministerio.planejamento.orcamento.gestao;secretaria.orcamento.federal,ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos","Ministério do Planejamento, Orçamento e Gestão. Secretaria de Orçamento Federal; Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos",,,,
"ministerio.planejamento.orcamento.gestao;secretaria.executiva;departamento.coordenacao.governanca.empresas.estatais,ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos","Ministério do Planejamento, Orçamento e Gestão. Secretaria Executiva. Departamento de Coordenação e Governança das Empresas Estatais; Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos",,,,
"ministerio.planejamento.orcamento.gestao;secretaria.gestao,ministerio.planejamento.orcamento.gestao;secretaria.patrimonio.uniao","Ministério do Planejamento, Orçamento e Gestão. Secretaria de Gestão; Ministério do Planejamento, Orçamento e Gestão. Secretaria do Patrimônio da União",,,,
"ministerio.planejamento.orcamento.gestao;secretaria.logistica.tecnologia.informacao,ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos","Ministério do Planejamento, Orçamento e Gestão. Secretaria de Logística e Tecnologia da Informação; Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos",,,,
"ministerio.planejamento.orcamento.gestao;secretaria.executiva;subsecretaria.planejamento.orcamento.administracao,ministerio.planejamento.orcamento.gestao;secretaria.patrimonio.uniao","Ministério do Planejamento, Orçamento e Gestão. Secretaria Executiva. Subsecretaria de Planejamento, Orçamento e Administração; Ministério do Planejamento, Orçamento e Gestão. Secretaria do Patrimônio da União",,,,
ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos;departamento.administracao.sistemas.informacao.recursos.humanos,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Recursos Humanos. Departamento de Administração de Sistemas de Informação de Recursos Humanos",DASIS,#ministerio.planejamento.orcamento.gestao;secretaria.recursos.humanos,DASIS – Departamento de Administração de Sistemas de Informação de Recursos Humanos,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Recursos Humanos::Departamento de Administração de Sistemas de Informação de Recursos Humanos"
ministerio.planejamento.orcamento.gestao;secretaria.logistica.tecnologia.informacao;departamento.logistica.servicos.gerais,"Ministério do Planejamento, Orçamento e Gestão. Secretaria de Logística e Tecnologia da Informação. Departamento de Logística e Serviços Gerais",,#ministerio.planejamento.orcamento.gestao;secretaria.logistica.tecnologia.informacao,,"Federal::Executivo::Ministério do Planejamento, Orçamento e Gestão::Secretaria de Logística e Tecnologia da Informação::Departamento de Logística e Serviços Gerais"
ministerio.administracao.federal.reforma.estado;secretaria.executiva,"Ministério da Administração Federal e Reforma do Estado. Secretaria-Executiva",,#ministerio.administracao.federal.reforma.estado,,Federal::Executivo::Ministério da Administração Federal e Reforma do Estado::Secretaria-Executiva
presidencia.republica;secretaria.administracao.federal;subsecretaria.recursos.humanos,"Presidência da República. Secretaria de Administração Federal. Subsecretaria de Recursos Humanos",,#presidencia.republica;secretaria.administracao.federal,,Federal::Executivo::Presidência da República::Secretaria de Administração Federal::Subsecretaria de Recursos Humanos
presidencia.republica;casa.civil,"Presidência da República. Casa Civil",,#presidencia.republica,,Federal::Executivo::Presidência da República::Casa Civil
presidencia.republica;casa.militar,"Presidência da República. Casa Militar",,#presidencia.republica,,Federal::Executivo::Presidência da República::Casa Militar
ministerio.educacao.desporto,"Ministério da Educação e do Desporto",,,,Federal::Executivo::Ministério da Educação e do Desporto
estado.maior.forcas.armadas,"Estado Maior das Forças Armadas",EMFA,,EMFA – Estado Maior das Forças Armadas,Federal::Executivo::Estado Maior das Forças Armadas
ministerio.planejamento.orcamento,"Ministério do Planejamento e Orçamento",,,,Federal::Executivo::Ministério do Planejamento e Orçamento
ministerio.previdencia.assistencia.social,"Ministério da Previdência e Assistência Social",MPAS,,MPAS – Ministério da Previdência e Assistência Social,Federal::Executivo::Ministério da Previdência e Assistência Social
ministerio.agricultura.abastecimento,"Ministério da Agricultura e do Abastecimento",,,,Federal::Executivo::Ministério da Agricultura e do Abastecimento
ministerio.ciencia.tecnologia,"Ministério da Ciência e Tecnologia",MCT,,MCT – Ministério da Ciência e Tecnologia,Federal::Executivo::Ministério da Ciência e Tecnologia
ministerio.trabalho,"Ministério do Trabalho",MT,,MT – Ministério do Trabalho,Federal::Executivo::Ministério do Trabalho
ministerio.saude,"Ministério da Saúde",MS,,MS – Ministério da Saúde,Federal::Executivo::Ministério da Saúde
ministerio.comunicacoes,"Ministério das Comunicações",,,,Federal::Executivo::Ministério das Comunicações
ministerio.ciencia.tecnologia.inovacao,"Ministério da Ciência, Tecnologia e Inovação",MCTI,,"MCTI – Ministério da Ciência, Tecnologia e Inovação","Federal::Executivo::Ministério da Ciência, Tecnologia e Inovação"
ministerio.trabalho.emprego,"Ministério do Trabalho e Emprego",MTE,,MTE – Ministério do Trabalho e Emprego,Federal::Executivo::Ministério do Trabalho e Emprego
conselho.recursos.previdencial.social;junta.recursos.27,"Conselho de Recursos da Previdência Social. Vigésima Sétima Junta de Recursos - Natal - RN",JR29,#conselho.recursos.previdencial.social,JR29 – Vigésima Sétima Junta de Recursos - Natal - RN,Conselho de Recursos da Previdência Social::Vigésima Sétima Junta de Recursos - Natal - RN
"advocacia.geral.uniao,banco.central,ministerio.fazenda","Advocacia-Geral da União; Banco Central; Ministério da Fazenda",,,,
"advocacia.geral.uniao,ministerio.planejamento.orcamento.gestao","Advocacia-Geral da União; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.fazenda,ministerio.planejamento.orcamento.gestao,presidencia.republica;casa.civil","Ministério da Fazenda; Ministério do Planejamento, Orçamento e Gestão; Presidência da República. Casa Civil",,,,
"presidencia.republica;casa.civil,presidencia.republica;gabinete.seguranca.institucional","Presidência da República. Casa Civil; Presidência da República. Gabinete de Segurança Institucional",,,,
"ministerio.planejamento.orcamento.gestao,presidencia.republica;casa.civil","Ministério do Planejamento, Orçamento e Gestão; Presidência da República. Casa Civil",,,,
"ministerio.administracao.federal.reforma.estado,presidencia.republica;casa.militar","Ministério da Administração Federal e Reforma do Estado; Presidência da República. Casa Militar",,,,
"controladoria.geral.uniao,ministerio.fazenda,ministerio.planejamento.orcamento.gestao","Controladoria-Geral da União; Ministério da Fazenda; Ministério do Planejamento, Orçamento e Gestão",,,,
"estado.maior.forcas.armadas,ministerio.fazenda,presidencia.republica;secretaria.administracao.federal,presidencia.republica;secretaria.planejamento.coordenacao","Estado Maior das Forças Armadas; Ministério da Fazenda; Presidência da República. Secretaria de Administração Federal; Presidência da República. Secretaria de Planejamento e Coordenação",,,,
"ministerio.administracao.federal.reforma.estado,ministerio.educacao.desporto","Ministério da Administração Federal e Reforma do Estado; Ministério da Educação e do Desporto",,,,
"ministerio.administracao.federal.reforma.estado,ministerio.fazenda","Ministério da Administração Federal e Reforma do Estado; Ministério da Fazenda",,,,
"ministerio.administracao.federal.reforma.estado,ministerio.fazenda,ministerio.planejamento.orcamento","Ministério da Administração Federal e Reforma do Estado; Ministério da Fazenda; Ministério do Planejamento e Orçamento",,,,
"ministerio.administracao.federal.reforma.estado,ministerio.justica","Ministério da Administração Federal e Reforma do Estado; Ministério da Justiça",,,,
"ministerio.administracao.federal.reforma.estado,ministerio.previdencia.assistencia.social","Ministério da Administração Federal e Reforma do Estado; Ministério da Previdência e Assistência Social",,,,
"ministerio.administracao.federal.reforma.estado,ministerio.relacoes.exteriores","Ministério da Administração Federal e Reforma do Estado; Ministério das Relações Exteriores",,,,
"ministerio.administracao.federal.reforma.estado,ministerio.planejamento.orcamento","Ministério da Administração Federal e Reforma do Estado; Ministério do Planejamento e Orçamento",,,,
"ministerio.agricultura.abastecimento,ministerio.planejamento.orcamento.gestao","Ministério da Agricultura e do Abastecimento; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.agricultura.pecuaria.abastecimento,ministerio.planejamento.orcamento.gestao","Ministério da Agricultura, Pecuária e Abastecimento; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.ciencia.tecnologia.inovacao,ministerio.planejamento.orcamento.gestao","Ministério da Ciência, Tecnologia e Inovação; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.defesa,ministerio.planejamento.orcamento.gestao","Ministério da Defesa; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.educacao,ministerio.planejamento.orcamento.gestao","Ministério da Educação; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.fazenda,ministerio.planejamento.orcamento.gestao","Ministério da Fazenda; Ministério do Planejamento, Orçamento e Gestão",,,,
presidencia.republica;secretaria.planejamento.orcamento.coordenacao,"Presidência da República. Secretaria de Planejamento, Orçamento e Coordenação",,#presidencia.republica,,"Federal::Executivo::Presidência da República::Secretaria de Planejamento, Orçamento e Coordenação"
"estado.maior.forcas.armadas,ministerio.fazenda,ministerio.trabalho,presidencia.republica;secretaria.administracao.federal,presidencia.republica;secretaria.planejamento.orcamento.coordenacao","Estado Maior das Forças Armadas; Ministério da Fazenda; Ministério do Trabalho; Presidência da República. Secretaria de Administração Federal; Presidência da República. Secretaria de Planejamento, Orçamento e Coordenação",,,,
"ministerio.fazenda,presidencia.republica;secretaria.administracao.federal","Ministério da Fazenda; Presidência da República. Secretaria de Administração Federal",,,,
"ministerio.justica,ministerio.planejamento.orcamento.gestao","Ministério da Justiça; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.planejamento.orcamento.gestao,ministerio.previdencia.social","Ministério do Planejamento, Orçamento e Gestão; Ministério da Previdência Social",,,,
"ministerio.planejamento.orcamento,ministerio.saude","Ministério do Planejamento e Orçamento; Ministério da Saúde",,,,
"ministerio.planejamento.orcamento.gestao,ministerio.saude","Ministério do Planejamento, Orçamento e Gestão; Ministério da Saúde",,,,
"ministerio.saude,ministerio.trabalho.administracao","Ministério da Saúde; Ministério do Trabalho e da Administração",,,,
"ministerio.comunicacoes,ministerio.planejamento.orcamento.gestao","Ministério das Comunicações; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.ciencia.tecnologia,ministerio.planejamento.orcamento.gestao","Ministério da Ciência e Tecnologia; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.desenvolvimento.industria.comercio.exterior,ministerio.planejamento.orcamento.gestao","Ministério do Desenvolvimento, Indústria e Comércio Exterior; Ministério do Planejamento, Orçamento e Gestão",,,,
"ministerio.fazenda,ministerio.planejamento.orcamento.gestao,ministerio.relacoes.exteriores","Ministério da Fazenda; Ministério do Planejamento, Orçamento e Gestão; Ministério das Relações Exteriores",,,,
"ministerio.planejamento.orcamento.gestao,ministerio.trabalho.emprego","Ministério do Planejamento, Orçamento e Gestão; Ministério do Trabalho e Emprego",,,,
"ministerio.trabalho,presidencia.republica;secretaria.administracao.federal","Ministério do Trabalho; Presidência da República. Secretaria de Administração Federal",,,,
presidencia.republica;secretaria.estado.controle.transparencia,"Presidência da República. Secretaria de Estado de Controle e Transparência",,#presidencia.republica,,Federal::Executivo::Presidência da República::Secretaria de Estado de Controle e Transparência
