id,about,prefLabel,lang,altLabel,broader,facetaAcronimo,faceta
92,br:tribunal.superior.eleitoral:processo;ac,AC,pt-BR,"Ação Cautelar",#processo,AC – Ação Cautelar,Processo
93,br:tribunal.superior.eleitoral:processo;ae,AE,pt-BR,"Apuração de Eleição",#processo,AE – Apuração de Eleição,Processo
94,br:tribunal.superior.eleitoral:processo;aep,AEP,pt-BR,"Apuração de Eleição Presidencial",#processo,AEP – Apuração de Eleição Presidencial,Processo
95,br:tribunal.superior.eleitoral:processo;ag,AG,pt-BR,"Agravo de Instrumento",#processo,AG – Agravo de Instrumento,Processo
96,br:tribunal.superior.eleitoral:processo;ai,AI,pt-BR,"Agravo de Instrumento",#processo,AI – Agravo de Instrumento,Processo
97,br:tribunal.superior.eleitoral:processo;aije,AIJE,pt-BR,"Agravo de Investigação Judicial Eleitoral",#processo,AIJE – Agravo de Investigação Judicial Eleitoral,Processo
98,br:tribunal.superior.eleitoral:processo;aim,AIM,pt-BR,"Ação de Impugnação de Mandato",#processo,AIM – Ação de Impugnação de Mandato,Processo
99,br:tribunal.superior.eleitoral:processo;aime,AIME,pt-BR,"Ação de Impugnação de Mandato Eletivo",#processo,AIME – Ação de Impugnação de Mandato Eletivo,Processo
100,br:tribunal.superior.eleitoral:processo;ap,AP,pt-BR,"Ação Penal",#processo,AP – Ação Penal,Processo
101,br:tribunal.superior.eleitoral:processo;ar,AR,pt-BR,"Ação Rescisória",#processo,AR – Ação Rescisória,Processo
102,br:tribunal.superior.eleitoral:processo;cc,CC,pt-BR,"Conflito de Competência",#processo,CC – Conflito de Competência,Processo
103,br:tribunal.superior.eleitoral:processo;cp,CP,pt-BR,"Cancelamento de Partido",#processo,CP – Cancelamento de Partido,Processo
104,br:tribunal.superior.eleitoral:processo;crpp,CRPP,pt-BR,"Cancelamento de Registro de Partido Político",#processo,CRPP – Cancelamento de Registro de Partido Político,Processo
105,br:tribunal.superior.eleitoral:processo;cta,CTA,pt-BR,Consulta,#processo,CTA – Consulta,Processo
106,br:tribunal.superior.eleitoral:processo;cze,CZE,pt-BR,"Criação de Zona Eleitoral",#processo,CZE – Criação de Zona Eleitoral,Processo
107,br:tribunal.superior.eleitoral:processo;czer,CZER,pt-BR,"Criação de Zona Eleitoral ou Remanejamento",#processo,CZER – Criação de Zona Eleitoral ou Remanejamento,Processo
108,br:tribunal.superior.eleitoral:processo;ee,EE,pt-BR,"Embargos à Execução",#processo,EE – Embargos à Execução,Processo
109,br:tribunal.superior.eleitoral:processo;ef,EF,pt-BR,"Execução Fiscal",#processo,EF – Execução Fiscal,Processo
110,br:tribunal.superior.eleitoral:processo;elt,ELT,pt-BR,"Encaminhamento de Lista Tríplice",#processo,ELT – Encaminhamento de Lista Tríplice,Processo
111,br:tribunal.superior.eleitoral:processo;exc,EXC,pt-BR,Exceção,#processo,EXC – Exceção,Processo
112,br:tribunal.superior.eleitoral:processo;exsup,EXSUP,pt-BR,"Exceção de Suspeição",#processo,EXSUP – Exceção de Suspeição,Processo
113,br:tribunal.superior.eleitoral:processo;hc,HC,pt-BR,"Habeas Corpus",#processo,HC – Habeas Corpus,Processo
114,br:tribunal.superior.eleitoral:processo;hd,HD,pt-BR,"Habeas Data",#processo,HD – Habeas Data,Processo
115,br:tribunal.superior.eleitoral:processo;inq,INQ,pt-BR,Inquérito,#processo,INQ – Inquérito,Processo
116,br:tribunal.superior.eleitoral:processo;inst,INST,pt-BR,Instrução,#processo,INST – Instrução,Processo
117,br:tribunal.superior.eleitoral:processo;lt,LT,pt-BR,"Lista Tríplice",#processo,LT – Lista Tríplice,Processo
118,br:tribunal.superior.eleitoral:processo;mc,MC,pt-BR,"Medida Cautelar",#processo,MC – Medida Cautelar,Processo
119,br:tribunal.superior.eleitoral:processo;mi,MI,pt-BR,"Mandado de Injunção",#processo,MI – Mandado de Injunção,Processo
120,br:tribunal.superior.eleitoral:processo;ms,MS,pt-BR,"Mandado de Segurança",#processo,MS – Mandado de Segurança,Processo
121,br:tribunal.superior.eleitoral:processo;nc,NC,pt-BR,"Notícia Crime",#processo,NC – Notícia Crime,Processo
122,br:tribunal.superior.eleitoral:processo;pa,PA,pt-BR,"Processo Administrativo",#processo,PA – Processo Administrativo,Processo
123,br:tribunal.superior.eleitoral:processo;pc,PC,pt-BR,"Prestação de Contas",#processo,PC – Prestação de Contas,Processo
124,br:tribunal.superior.eleitoral:processo;pd,PD,pt-BR,"Pedido de Desaforamento",#processo,PD – Pedido de Desaforamento,Processo
125,br:tribunal.superior.eleitoral:processo;pdsf,PDSF,pt-BR,"Pedido de Desaforamento",#processo,PDSF – Pedido de Desaforamento,Processo
126,br:tribunal.superior.eleitoral:processo;pet,PET,pt-BR,Petição,#processo,PET – Petição,Processo
127,br:tribunal.superior.eleitoral:processo;pp,PP,pt-BR,"Propaganda Partidária",#processo,PP – Propaganda Partidária,Processo
128,br:tribunal.superior.eleitoral:processo;rcand,RCAND,pt-BR,"Registro de Candidatura",#processo,RCAND – Registro de Candidatura,Processo
129,br:tribunal.superior.eleitoral:processo;rced,RCED,pt-BR,"Recurso contra Expedição de Diploma",#processo,RCED – Recurso contra Expedição de Diploma,Processo
130,br:tribunal.superior.eleitoral:processo;rcf,RCF,pt-BR,"Registro de Comitê Financeiro",#processo,RCF – Registro de Comitê Financeiro,Processo
131,br:tribunal.superior.eleitoral:processo;rcl,RCL,pt-BR,Reclamação,#processo,RCL – Reclamação,Processo
132,br:tribunal.superior.eleitoral:processo;rcpr,RCPR,pt-BR,"Registro de Candidatos a Presidência e Vice",#processo,RCPR – Registro de Candidatos a Presidência e Vice,Processo
133,br:tribunal.superior.eleitoral:processo;respe,RESPE,pt-BR,"Recurso Especial Eleitoral",#processo,RESPE – Recurso Especial Eleitoral,Processo
134,br:tribunal.superior.eleitoral:processo;rgp,RGP,pt-BR,"Registro de Partido",#processo,RGP – Registro de Partido,Processo
135,br:tribunal.superior.eleitoral:processo;rhc,RHC,pt-BR,"Recurso em Habeas Corpus",#processo,RHC – Recurso em Habeas Corpus,Processo
136,br:tribunal.superior.eleitoral:processo;rhd,RHD,pt-BR,"Recurso em Habeas Data",#processo,RHD – Recurso em Habeas Data,Processo
137,br:tribunal.superior.eleitoral:processo;rmi,RMI,pt-BR,"Recurso em Mandado de Injunção",#processo,RMI – Recurso em Mandado de Injunção,Processo
138,br:tribunal.superior.eleitoral:processo;rms,RMS,pt-BR,"Recurso em Mandado de Segurança",#processo,RMS – Recurso em Mandado de Segurança,Processo
139,br:tribunal.superior.eleitoral:processo;ro,RO,pt-BR,"Recurso Ordinário",#processo,RO – Recurso Ordinário,Processo
140,br:tribunal.superior.eleitoral:processo;rp,RP,pt-BR,Representação,#processo,RP – Representação,Processo
141,br:tribunal.superior.eleitoral:processo;rpp,RPP,pt-BR,"Registro de Partido Político",#processo,RPP – Registro de Partido Político,Processo
142,br:tribunal.superior.eleitoral:processo;rvc,RVC,pt-BR,"Revisão Criminal",#processo,RVC – Revisão Criminal,Processo
143,br:tribunal.superior.eleitoral:processo;rve,RVE,pt-BR,"Revisão de Eleitorado",#processo,RVE – Revisão de Eleitorado,Processo
144,br:tribunal.superior.eleitoral:processo;ss,SS,pt-BR,"Suspensão de Segurança/Liminar",#processo,SS – Suspensão de Segurança/Liminar,Processo
145,br:tribunal.superior.eleitoral:acordao;aaag,AAAG,pt-BR,"Agravo Regimental em Agravo Regimental em Agravo de Instrumento",#acordao,AAAG – Agravo Regimental em Agravo Regimental em Agravo de Instrumento,Jurisprudência::Acórdão
146,br:tribunal.superior.eleitoral:acordao;aag,AAG,pt-BR,"Agravo Regimental em Agravo de Instrumento",#acordao,AAG – Agravo Regimental em Agravo de Instrumento,Jurisprudência::Acórdão
